,,SOLFEGE GAMES,,,,Rightmost columns are reminders of updates needed to individual games,,,Game Updates Needed,,,,,,,,
,28450,GAM-,0430-3,QUIZ,Catch the Coconut 4,Hear and identify 4ths & 5ths ,,430,T,,,,,,L,,
,29400,GAM-,0430-5,REVIEW,Catch the Coconut 4,Hear and identify 4ths & 5ths ,,430,T,,,,,,L,,
,33700,GAM-,0430-1,LEARN,Catch the Coconut 4,Hear and identify 4ths & 5ths ,,430,T,,,,,,L,,
,33750,GAM-,0430-2,PLAY,Catch the Coconut 4,Hear and identify 4ths & 5ths ,,430,T,,,,,,L,,
,33800,GAM-,0430-3,QUIZ,Catch the Coconut 4,Hear and identify 4ths & 5ths ,,430,T,,,,,,L,,
,23500,GAM-,0500-1,LEARN,Climbing High,"Hear and play back 2nds, 3rds, 4ths, 5ths - same root - Major pentascale",,500,T,,,,,,L,,
,23550,GAM-,0500-2,PLAY,Climbing High,"Hear and play back 2nds, 3rds, 4ths, 5ths - same root - Major pentascale",,500,T,,,,,,L,,
,23600,GAM-,0500-3,QUIZ,Climbing High,"Hear and play back 2nds, 3rds, 4ths, 5ths - same root - Major pentascale",,500,T,,,,,,L,,
,26000,GAM-,0500-5,REVIEW,Climbing High,"Hear and play back 2nds, 3rds, 4ths, 5ths - same root - Major pentascale",,500,T,,,,,,L,,
,43900,GAM-,0520-1,LEARN,Climbing High 2,"Minor pentascales--hear and play back 2nds, 3rds, 4ths, 5ths - same root",,520,T,,,,,,L,,
,43950,GAM-,0520-2,PLAY,Climbing High 2,"Minor pentascales--hear and play back 2nds, 3rds, 4ths, 5ths - same root",,520,T,,,,,,L,,
,44000,GAM-,0520-3,QUIZ,Climbing High 2,"Minor pentascales--hear and play back 2nds, 3rds, 4ths, 5ths - same root",,520,T,,,,,,L,,
,46150,GAM-,0520-5,REVIEW,Climbing High 2,"Minor pentascales--hear and play back 2nds, 3rds, 4ths, 5ths - same root",,520,T,,,,,,L,,
,44750,GAM-,0570-1,LEARN,Cosmic Key Signatures 1,"Identify C, G and F Major key signatures",,570,T,,,,,,L,,
,44800,GAM-,0570-2,PLAY,Cosmic Key Signatures 1,"Identify C, G and F Major key signatures",,570,T,,,,,,L,,
,44850,GAM-,0570-3,QUIZ,Cosmic Key Signatures 1,"Identify C, G and F Major key signatures",,570,T,,,,,,L,,
,46700,GAM-,0570-5,REVIEW,Cosmic Key Signatures 1,"Identify C, G and F Major key signatures",,570,T,,,,,,L,,
,57700,GAM-,0580-1,LEARN,Cosmic Key Signatures 2,"Identify D, A and E Major key signatures",,580,T,,,,,,L,,
,57750,GAM-,0580-2,PLAY,Cosmic Key Signatures 2,"Identify D, A and E Major key signatures",,580,T,,,,,,L,,
,57800,GAM-,0580-3,QUIZ,Cosmic Key Signatures 2,"Identify D, A and E Major key signatures",,580,T,,,,,,L,,
,60550,GAM-,0580-5,REVIEW,Cosmic Key Signatures 2,"Identify D, A and E Major key signatures",,580,T,,,,,,L,,
,02100,GAM-,0700-1,LEARN,Falling Symbols 1,"Match music symbols (see the ""Learn"" level of the game)",,700,T,,,,,,L,,
,02150,GAM-,0700-2,PLAY,Falling Symbols 1,"Match music symbols (see the ""Learn"" level of the game)",,700,T,,,,,,L,,
,02200,GAM-,0700-3,QUIZ,Falling Symbols 1,"Match music symbols (see the ""Learn"" level of the game)",,700,T,,,,,,L,,
,03250,GAM-,0700-5,REVIEW,Falling Symbols 1,"Match music symbols (see the ""Learn"" level of the game)",,700,T,,,,,,L,,
,08450,GAM-,0710-5,REVIEW,Falling Symbols 2,"Identify music symbols (see the ""Learn"" level of the game)",,710,T,,,,,,L,,
,18900,GAM-,0710-1,LEARN,Falling Symbols 2,"Identify music symbols (see the ""Learn"" level of the game)",,710,T,,,,,,L,,
,18950,GAM-,0710-2,PLAY,Falling Symbols 2,"Identify music symbols (see the ""Learn"" level of the game)",,710,T,,,,,,L,,
,19000,GAM-,0710-3,QUIZ,Falling Symbols 2,"Identify music symbols (see the ""Learn"" level of the game)",,710,T,,,,,,L,,
,22000,GAM-,0710-5,REVIEW,Falling Symbols 2,"Identify music symbols (see the ""Learn"" level of the game)",,710,T,,,,,,L,,
,04050,GAM-,0712-1,LEARN,Falling Symbols 2,"Identify music symbols (see the ""Learn"" level of the game)",,712,T,,,,,,L,,
,04100,GAM-,0712-2,PLAY,Falling Symbols 2,"Identify music symbols (see the ""Learn"" level of the game)",,712,T,,,,,,L,,
,04150,GAM-,0712-3,QUIZ,Falling Symbols 2,"Identify music symbols (see the ""Learn"" level of the game)",,712,T,,,,,,L,,
,27500,GAM-,0720-1,LEARN,Falling Symbols 3,"Identify Level 1 & 2 music symbols (see the ""Learn"" level of the game)",,720,T,,,,,,L,,
,27550,GAM-,0720-2,PLAY,Falling Symbols 3,"Identify Level 1 & 2 music symbols (see the ""Learn"" level of the game)",,720,T,,,,,,L,,
,27600,GAM-,0720-3,QUIZ,Falling Symbols 3,"Identify Level 1 & 2 music symbols (see the ""Learn"" level of the game)",,720,T,,,,,,L,,
,29850,GAM-,0720-5,REVIEW,Falling Symbols 3,"Identify Level 1 & 2 music symbols (see the ""Learn"" level of the game)",,720,T,,,,,,L,,
,32500,GAM-,0720-1,LEARN,Falling Symbols 3,"Identify Level 1 & 2 music symbols (see the ""Learn"" level of the game)",,720,T,,,,,,L,,
,32550,GAM-,0720-2,PLAY,Falling Symbols 3,"Identify Level 1 & 2 music symbols (see the ""Learn"" level of the game)",,720,T,,,,,,L,,
,32600,GAM-,0720-3,QUIZ,Falling Symbols 3,"Identify Level 1 & 2 music symbols (see the ""Learn"" level of the game)",,720,T,,,,,,L,,
,44700,GAM-,0720-5,REVIEW,Falling Symbols 3,"Identify Level 1 & 2 music symbols (see the ""Learn"" level of the game)",,720,T,,,,,,L,,
,55050,GAM-,0730-1,LEARN,Falling Symbols 4,Identify music terms & symbols.  See the Learn level of the game,,730,T,,,,,,L,,
,55100,GAM-,0730-2,PLAY,Falling Symbols 4,Identify music terms & symbols.  See the Learn level of the game,,730,T,,,,,,L,,
,55150,GAM-,0730-3,QUIZ,Falling Symbols 4,Identify music terms & symbols.  See the Learn level of the game,,730,T,,,,,,L,,
,60300,GAM-,0730-5,REVIEW,Falling Symbols 4,Identify music terms & symbols.  See the Learn level of the game,,730,T,,,,,,L,,
,74250,GAM-,0740-1,LEARN,Falling Symbols 5,Identify music terms & symbols.  All terms are displayed at the beginning of the Learn level of the game,,740,T,,,,,,L,,
,74300,GAM-,0740-2,PLAY,Falling Symbols 5,Identify music terms & symbols.  All terms are displayed at the beginning of the Learn level of the game,,740,T,,,,,,L,,
,74350,GAM-,0740-3,QUIZ,Falling Symbols 5,Identify music terms & symbols.  All terms are displayed at the beginning of the Learn level of the game,,740,T,,,,,,L,,
,77000,GAM-,0740-5,REVIEW,Falling Symbols 5,Identify music terms & symbols.  All terms are displayed at the beginning of the Learn level of the game,,740,T,,,,,,L,,
,00600,GAM-,0750-1,LEARN,Faster-Slower-Same 1,Does the music become faster or slower? ,,750,T,,,,,,L,,
,00650,GAM-,0750-2,PLAY,Faster-Slower-Same 1,Does the music become faster or slower? ,,750,T,,,,,,L,,
,00700,GAM-,0750-3,QUIZ,Faster-Slower-Same 1,Does the music become faster or slower? ,,750,T,,,,,,L,,
,05150,GAM-,0760-1,LEARN,Faster-Slower-Same 2,"Does the music become faster, slower or the same? ",,760,T,,,,,,L,,
,05200,GAM-,0760-2,PLAY,Faster-Slower-Same 2,"Does the music become faster, slower or the same? ",,760,T,,,,,,L,,
,05250,GAM-,0760-3,QUIZ,Faster-Slower-Same 2,"Does the music become faster, slower or the same? ",,760,T,,,,,,L,,
,06350,GAM-,0760-5,REVIEW,Faster-Slower-Same 2,"Does the music become faster, slower or the same? ",,760,T,,,,,,L,,
,19200,GAM-,0770-1,LEARN,Faster-Slower-Same 3,Identify and demonstrate understanding of terms “ritardando” and “accelerando” in musical examples,,770,T,,,,,,L,,
,19250,GAM-,0770-2,PLAY,Faster-Slower-Same 3,Identify and demonstrate understanding of terms “ritardando” and “accelerando” in musical examples,,770,T,,,,,,L,,
,19300,GAM-,0770-3,QUIZ,Faster-Slower-Same 3,Identify and demonstrate understanding of terms “ritardando” and “accelerando” in musical examples,,770,T,,,,,,L,,
,01200,GAM-,0780-1,LEARN,Finger Finder,Finger Numbers for the Right and Left hands ,,780,T,,,,,,L,,
,01250,GAM-,0780-2,PLAY,Finger Finder,Finger Numbers for the Right and Left hands ,,780,T,,,,,,L,,
,01300,GAM-,0780-3,QUIZ,Finger Finder,Finger Numbers for the Right and Left hands ,,780,T,,,,,,L,,
,03100,GAM-,0780-5,REVIEW,Finger Finder,Finger Numbers for the Right and Left hands ,,780,T,,,,,,L,,
,31900,GAM-,0790-1,LEARN,Float a Note 1,Name Treble Staff lines and spaces ,,790,T,,,,,,L,,
,31950,GAM-,0790-2,PLAY,Float a Note 1,Name Treble Staff lines and spaces ,,790,T,,,,,,L,,
,32000,GAM-,0790-3,QUIZ,Float a Note 1,Name Treble Staff lines and spaces ,,790,T,,,,,,L,,
,39100,GAM-,0790-5,REVIEW,Float a Note 1,Name Treble Staff lines and spaces ,,790,T,,,,,,L,,
,31900,GAM-,0800-1,LEARN,Float a Note 1 S,Name Treble Staff lines and spaces ,,800,T,,,,,,L,,
,31950,GAM-,0800-2,PLAY,Float a Note 1 S,Name Treble Staff lines and spaces ,,800,T,,,,,,L,,
,32000,GAM-,0800-3,QUIZ,Float a Note 1 S,Name Treble Staff lines and spaces ,,800,T,,,,,,L,,
,32350,GAM-,0810-1,LEARN,Float a Note 2,Name Bass Staff lines and spaces ,,810,T,,,,,,L,,
,32400,GAM-,0810-2,PLAY,Float a Note 2,Name Bass Staff lines and spaces ,,810,T,,,,,,L,,
,32450,GAM-,0810-3,QUIZ,Float a Note 2,Name Bass Staff lines and spaces ,,810,T,,,,,,L,,
,34250,GAM-,0810-5,REVIEW,Float a Note 2,Name Bass Staff lines and spaces ,,810,T,,,,,,L,,
,32350,GAM-,0820-1,LEARN,Float a Note 2 S,Name Bass Staff lines and spaces ,,820,T,,,,,,L,,
,32400,GAM-,0820-2,PLAY,Float a Note 2 S,Name Bass Staff lines and spaces ,,820,T,,,,,,L,,
,32450,GAM-,0820-3,QUIZ,Float a Note 2 S,Name Bass Staff lines and spaces ,,820,T,,,,,,L,,
,15050,GAM-,0830-1,LEARN,FloatANote Pentascales 1,Identify the notes of the C Major pentascale - Middle CDEFG,,830,T,,,,,,L,,
,15100,GAM-,0830-2,PLAY,FloatANote Pentascales 1,Identify the notes of the C Major pentascale - Middle CDEFG,,830,T,,,,,,L,,
,15150,GAM-,0830-3,QUIZ,FloatANote Pentascales 1,Identify the notes of the C Major pentascale - Middle CDEFG,,830,T,,,,,,L,,
,17200,GAM-,0830-5,REVIEW,FloatANote Pentascales 1,Identify the notes of the C Major pentascale - Middle CDEFG,,830,T,,,,,,L,,
,16300,GAM-,0840-1,LEARN,FloatANote Pentascales 2,Identify the notes of the C Major pentascale - Bass CDEFG,,840,T,,,,,,L,,
,16350,GAM-,0840-2,PLAY,FloatANote Pentascales 2,Identify the notes of the C Major pentascale - Bass CDEFG,,840,T,,,,,,L,,
,16400,GAM-,0840-3,QUIZ,FloatANote Pentascales 2,Identify the notes of the C Major pentascale - Bass CDEFG,,840,T,,,,,,L,,
,17950,GAM-,0840-5,REVIEW,FloatANote Pentascales 2,Identify the notes of the C Major pentascale - Bass CDEFG,,840,T,,,,,,L,,
,21300,GAM-,0850-1,LEARN,FloatANote Pentascales 3,Identify the notes of the G Major pentascale - Treble GABCD,,850,T,,,,,,L,,
,21350,GAM-,0850-2,PLAY,FloatANote Pentascales 3,Identify the notes of the G Major pentascale - Treble GABCD,,850,T,,,,,,L,,
,21400,GAM-,0850-3,QUIZ,FloatANote Pentascales 3,Identify the notes of the G Major pentascale - Treble GABCD,,850,T,,,,,,L,,
,23800,GAM-,0850-5,REVIEW,FloatANote Pentascales 3,Identify the notes of the G Major pentascale - Treble GABCD,,850,T,,,,,,L,,
,24250,GAM-,0860-1,LEARN,FloatANote Pentascales 4,Identify the notes of the bass G Major pentascale - bass GABCD,,860,T,,,,,,L,,
,24300,GAM-,0860-2,PLAY,FloatANote Pentascales 4,Identify the notes of the bass G Major pentascale - bass GABCD,,860,T,,,,,,L,,
,24350,GAM-,0860-3,QUIZ,FloatANote Pentascales 4,Identify the notes of the bass G Major pentascale - bass GABCD,,860,T,,,,,,L,,
,26100,GAM-,0860-5,REVIEW,FloatANote Pentascales 4,Identify the notes of the bass G Major pentascale - bass GABCD,,860,T,,,,,,L,,
,27950,GAM-,0870-1,LEARN,FloatANote Pentascales 5,Identify the notes of the G Major pentascale - Middle GABCD,,870,T,,,,,,L,,
,28000,GAM-,0870-2,PLAY,FloatANote Pentascales 5,Identify the notes of the G Major pentascale - Middle GABCD,,870,T,,,,,,L,,
,28050,GAM-,0870-3,QUIZ,FloatANote Pentascales 5,Identify the notes of the G Major pentascale - Middle GABCD,,870,T,,,,,,L,,
,29950,GAM-,0870-5,REVIEW,FloatANote Pentascales 5,Identify the notes of the G Major pentascale - Middle GABCD,,870,T,,,,,,L,,
,34850,GAM-,0930-1,LEARN,Grand Staff Alphabet 1,Name Grand Staff Lines and Spaces,,930,T,,,,,,L,,
,34900,GAM-,0930-2,PLAY,Grand Staff Alphabet 1,Name Grand Staff Lines and Spaces,,930,T,,,,,,L,,
,34950,GAM-,0930-3,QUIZ,Grand Staff Alphabet 1,Name Grand Staff Lines and Spaces,,930,T,,,,,,L,,
,35000,GAM-,0930-4,CHALLENGE,Grand Staff Alphabet 1,Name Grand Staff Lines and Spaces,,930,T,,,,,,L,,
,40050,GAM-,0930-5,REVIEW,Grand Staff Alphabet 1,Name Grand Staff Lines and Spaces,,930,T,,,,,,L,,
,34850,GAM-,0940-1,LEARN,Grand Staff Alphabet 1 S,Name Grand Staff Lines and Spaces,,940,T,,,,,,L,,
,34900,GAM-,0940-2,PLAY,Grand Staff Alphabet 1 S,Name Grand Staff Lines and Spaces,,940,T,,,,,,L,,
,34950,GAM-,0940-3,QUIZ,Grand Staff Alphabet 1 S,Name Grand Staff Lines and Spaces,,940,T,,,,,,L,,
,35000,GAM-,0940-4,CHALLENGE,Grand Staff Alphabet 1 S,Name Grand Staff Lines and Spaces,,940,T,,,,,,L,,
,39900,GAM-,0940-5,REVIEW,Grand Staff Alphabet 1 S,Name Grand Staff Lines and Spaces,,940,T,,,,,,L,,
,54050,GAM-,0950-1,LEARN,Grand Staff Alphabet 2,Read and name C-D-E and C-B-A on ledger lines between the staves,,950,T,,,,,,L,,
,54100,GAM-,0950-2,PLAY,Grand Staff Alphabet 2,Read and name C-D-E and C-B-A on ledger lines between the staves,,950,T,,,,,,L,,
,54150,GAM-,0950-3,QUIZ,Grand Staff Alphabet 2,Read and name C-D-E and C-B-A on ledger lines between the staves,,950,T,,,,,,L,,
,54200,GAM-,0950-4,CHALLENGE,Grand Staff Alphabet 2,Read and name C-D-E and C-B-A on ledger lines between the staves,,950,T,,,,,,L,,
,57450,GAM-,0950-5,REVIEW,Grand Staff Alphabet 2,Read and name C-D-E and C-B-A on ledger lines between the staves,,950,T,,,,,,L,,
,08700,GAM-,0960-1,LEARN,Grand Staff Guide Notes 1,"Identify Treble G, Middle C, Bass F on the staff",,960,T,,,,,,L,,
,08750,GAM-,0960-2,PLAY,Grand Staff Guide Notes 1,"Identify Treble G, Middle C, Bass F on the staff",,960,T,,,,,,L,,
,08800,GAM-,0960-3,QUIZ,Grand Staff Guide Notes 1,"Identify Treble G, Middle C, Bass F on the staff",,960,T,,,,,,L,,
,12150,GAM-,0960-5,REVIEW,Grand Staff Guide Notes 1,"Identify Treble G, Middle C, Bass F on the staff",,960,T,,,,,,L,,
,13200,GAM-,0960-1,LEARN,Grand Staff Guide Notes 1,"Identify Treble G, Middle C, Bass F on the staff",,960,T,,,,,,L,,
,13250,GAM-,0960-2,PLAY,Grand Staff Guide Notes 1,"Identify Treble G, Middle C, Bass F on the staff",,960,T,,,,,,L,,
,13300,GAM-,0960-3,QUIZ,Grand Staff Guide Notes 1,"Identify Treble G, Middle C, Bass F on the staff",,960,T,,,,,,L,,
,20450,GAM-,0980-1,LEARN,Grand Staff Guide Notes 2,"Read and Play Treble C, Middle C, Bass C ",,980,T,,,,,,L,,
,20500,GAM-,0980-2,PLAY,Grand Staff Guide Notes 2,"Read and Play Treble C, Middle C, Bass C ",,980,T,,,,,,L,,
,20550,GAM-,0980-3,QUIZ,Grand Staff Guide Notes 2,"Read and Play Treble C, Middle C, Bass C ",,980,T,,,,,,L,,
,23250,GAM-,0980-5,REVIEW,Grand Staff Guide Notes 2,"Read and Play Treble C, Middle C, Bass C ",,980,T,,,,,,L,,
,23000,GAM-,1000-1,LEARN,Grand Staff Guide Notes 3,"Read & play Treble G, Middle G, Bass G on the onscreen keyboard",,1000,T,,,,,,L,,
,23050,GAM-,1000-2,PLAY,Grand Staff Guide Notes 3,"Read & play Treble G, Middle G, Bass G on the onscreen keyboard",,1000,T,,,,,,L,,
,23100,GAM-,1000-3,QUIZ,Grand Staff Guide Notes 3,"Read & play Treble G, Middle G, Bass G on the onscreen keyboard",,1000,T,,,,,,L,,
,26200,GAM-,1000-5,REVIEW,Grand Staff Guide Notes 3,"Read & play Treble G, Middle G, Bass G on the onscreen keyboard",,1000,T,,,,,,L,,
,40400,GAM-,1010-1,LEARN,Grand Staff Guide Notes 4,Read & play the five C's on the onscreen keyboard,,1010,T,,,,,,L,,
,40450,GAM-,1010-2,PLAY,Grand Staff Guide Notes 4,Read & play the five C's on the onscreen keyboard,,1010,T,,,,,,L,,
,40500,GAM-,1010-3,QUIZ,Grand Staff Guide Notes 4,Read & play the five C's on the onscreen keyboard,,1010,T,,,,,,L,,
,44450,GAM-,1010-5,REVIEW,Grand Staff Guide Notes 4,Read & play the five C's on the onscreen keyboard,,1010,T,,,,,,L,,
,31750,GAM-,1020-1,LEARN,Grand Staff Guide Notes 5,Identify and play all 7 grand staff guide notes on the onscreen keyboard,,1020,T,,,,,,L,,
,31800,GAM-,1020-2,PLAY,Grand Staff Guide Notes 5,Identify and play all 7 grand staff guide notes on the onscreen keyboard,,1020,T,,,,,,L,,
,31850,GAM-,1020-3,QUIZ,Grand Staff Guide Notes 5,Identify and play all 7 grand staff guide notes on the onscreen keyboard,,1020,T,,,,,,L,,
,34100,GAM-,1020-5,REVIEW,Grand Staff Guide Notes 5,Identify and play all 7 grand staff guide notes on the onscreen keyboard,,1020,T,,,,,,L,,
,34700,GAM-,1030-1,LEARN,Grand Staff Guide Notes 5A,Includes low F and high G for MusicTree,,1030,T,,,,,,L,,
,34750,GAM-,1030-2,PLAY,Grand Staff Guide Notes 5A,Includes low F and high G for MusicTree,,1030,T,,,,,,L,,
,34800,GAM-,1030-3,QUIZ,Grand Staff Guide Notes 5A,Includes low F and high G for MusicTree,,1030,T,,,,,,L,,
,46300,GAM-,1040-1,LEARN,MIDI Grand Staff Hoops 1,Read & play grand staff white keys on a MIDI keyboard,,1040,T,M,,,,,L,,
,46350,GAM-,1040-2,PLAY,MIDI Grand Staff Hoops 1,Read & play grand staff white keys on a MIDI keyboard,,1040,T,M,,,,,L,,
,46400,GAM-,1040-3,QUIZ,MIDI Grand Staff Hoops 1,Read & play grand staff white keys on a MIDI keyboard,,1040,T,M,,,V,,L,,
,51650,GAM-,1040-4,CHALLENGE,MIDI Grand Staff Hoops 1,Read & play grand staff white keys on a MIDI keyboard,,1040,T,M,,,,,L,,
,70600,GAM-,1050-1,LEARN,MIDI Grand Staff Hoops 4,Read & play grand staff notes with key signatures,,1050,T,M,,,,,L,,
,70650,GAM-,1050-2,PLAY,MIDI Grand Staff Hoops 4,Read & play grand staff notes with key signatures,,1050,T,M,,,,,L,,
,70700,GAM-,1050-3,QUIZ,MIDI Grand Staff Hoops 4,Read & play grand staff notes with key signatures,,1050,T,M,,,,,L,,
,73450,GAM-,1050-5,REVIEW,MIDI Grand Staff Hoops 4,Read & play grand staff notes with key signatures,,1050,T,M,,,,,L,,
,22600,GAM-,1060-1,LEARN,Grand Staff Pattern Reading 1,"Read from 3 Guide Notes: Bass F, Middle C, Treble G ",,1060,T,,,,,,L,,
,22650,GAM-,1060-2,PLAY,Grand Staff Pattern Reading 1,"Read from 3 Guide Notes: Bass F, Middle C, Treble G ",,1060,T,,,,,,L,,
,22700,GAM-,1060-3,QUIZ,Grand Staff Pattern Reading 1,"Read from 3 Guide Notes: Bass F, Middle C, Treble G ",,1060,T,,,,,,L,,
,26350,GAM-,1060-5,REVIEW,Grand Staff Pattern Reading 1,"Read from 3 Guide Notes: Bass F, Middle C, Treble G ",,1060,T,,,,,,L,,
,24650,GAM-,1070-1,LEARN,Grand Staff Pattern Reading 2,"Read from 3 Guide Notes: Bass C, Middle C, Treble C ",,1070,T,,,,,,L,,
,24700,GAM-,1070-2,PLAY,Grand Staff Pattern Reading 2,"Read from 3 Guide Notes: Bass C, Middle C, Treble C ",,1070,T,,,,,,L,,
,24750,GAM-,1070-3,QUIZ,Grand Staff Pattern Reading 2,"Read from 3 Guide Notes: Bass C, Middle C, Treble C ",,1070,T,,,,,,L,,
,26400,GAM-,1070-5,REVIEW,Grand Staff Pattern Reading 2,"Read from 3 Guide Notes: Bass C, Middle C, Treble C ",,1070,T,,,,,,L,,
,32050,GAM-,1080-1,LEARN,Grand Staff Pattern Reading 4,Sightread from all 7 guide notes,,1080,T,,,,,,L,,
,32100,GAM-,1080-2,PLAY,Grand Staff Pattern Reading 4,Sightread from all 7 guide notes,,1080,T,,,,,,L,,
,32150,GAM-,1080-3,QUIZ,Grand Staff Pattern Reading 4,Sightread from all 7 guide notes,,1080,T,,,,,,L,,
,34150,GAM-,1080-5,REVIEW,Grand Staff Pattern Reading 4,Sightread from all 7 guide notes,,1080,T,,,,,,L,,
,00900,GAM-,1100-1,LEARN,Hand Prints,Identify Left and Right hand,,1100,T,,,,,,L,,
,00950,GAM-,1100-2,PLAY,Hand Prints,Identify Left and Right hand,,1100,T,,,,,,L,,
,01000,GAM-,1100-3,QUIZ,Hand Prints,Identify Left and Right hand,,1100,T,,,,,,L,,
,03050,GAM-,1100-5,REVIEW,Hand Prints,Identify Left and Right hand,,1100,T,,,,,,L,,
,45900,GAM-,1200-1,LEARN,Hot Air Rhythms 1,"See two rhythms--which one was played--Quarter, eighth pairs, quarter tied to eighth",,1200,T,,,,,,L,,
,45950,GAM-,1200-2,PLAY,Hot Air Rhythms 1,"See two rhythms--which one was played--Quarter, eighth pairs, quarter tied to eighth",,1200,T,,,,,,L,,
,46000,GAM-,1200-3,QUIZ,Hot Air Rhythms 1,"See two rhythms--which one was played--Quarter, eighth pairs, quarter tied to eighth",,1200,T,,,,,,L,,
,52600,GAM-,1210-1,LEARN,Hot Air Rhythms 2,"See 2 rhythms, choose which one you hear.  Quarter notes, dotted quarter-eighth notes ",,1210,T,,,,,,L,,
,52650,GAM-,1210-2,PLAY,Hot Air Rhythms 2,"See 2 rhythms, choose which one you hear.  Quarter notes, dotted quarter-eighth notes ",,1210,T,,,,,,L,,
,52700,GAM-,1210-3,QUIZ,Hot Air Rhythms 2,"See 2 rhythms, choose which one you hear.  Quarter notes, dotted quarter-eighth notes ",,1210,T,,,,,,L,,
,56300,GAM-,1210-5,REVIEW,Hot Air Rhythms 2,"See 2 rhythms, choose which one you hear.  Quarter notes, dotted quarter-eighth notes ",,1210,T,,,,,,L,,
,41300,GAM-,1220-1,LEARN,Interval Aces 1,Identify aural intervals:  half step and whole step,,1220,T,,,,,,L,,
,41350,GAM-,1220-2,PLAY,Interval Aces 1,Identify aural intervals:  half step and whole step,,1220,T,,,,,,L,,
,41400,GAM-,1220-3,QUIZ,Interval Aces 1,Identify aural intervals:  half step and whole step,,1220,T,,,,,,L,,
,43150,GAM-,1220-5,REVIEW,Interval Aces 1,Identify aural intervals:  half step and whole step,,1220,T,,,,,,L,,
,75450,GAM-,1230-1,LEARN,Interval Aces 2 ,Identify aural intervals:  minor 3rd & Major 3rd,,1230,T,,,,,,L,,
