,,,,,,,,,,,,
,AS OF,DELIVERED,,,88%,MusicLearningCommunity.com,D-,88%,,,,
,GAM-3730-1E,D,A,P,GAM-3730,Storm Chasers 2,#NAME?,#NAME?,,,,
,GAM-3730-2E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3730-3E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3730-5E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3740-1E,D,A,P,GAM-3740,Storm Chasers 3,#NAME?,#NAME?,,,,
,GAM-3740-2E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3740-3E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3740-5E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3760-1E,D,A,P,GAM-3760,Super Monkey Intervals 1,#NAME?,#NAME?,Blank Screens,11/10/21,,
,GAM-3760-2E,D,A,P,,,#NAME?,#NAME?,Blank Screens,11/10/21,,
,GAM-3760-3E,D,A,P,,,#NAME?,#NAME?,Blank Screens,11/10/21,,
,GAM-3760-5E,D,A,P,,,#NAME?,#NAME?,Blank Screens,11/10/21,,
,GAM-3780-1E,D,A,P,GAM-3780,Super Monkey Intervals 2,#NAME?,#NAME?,Blank Screens,11/10/21,,
,GAM-3780-2E,D,A,P,,,#NAME?,#NAME?,Blank Screens,11/10/21,,
,GAM-3780-3E,D,A,P,,,#NAME?,#NAME?,Blank Screens,11/10/21,,
,GAM-3780-5E,D,A,P,,,#NAME?,#NAME?,Blank Screens,11/10/21,,
,GAM-3790-1E,D,A,P,GAM-3790,Surfin' Rhythms 1,#NAME?,#NAME?,,,,
,GAM-3790-2E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3790-3E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3790-5E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3800-1E,D,A,P,GAM-3800,Surfin' Rhythms 2,#NAME?,#NAME?,,,,
,GAM-3800-2E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3800-3E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3800-5E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3810-1E,N,N,,GAM-3810,Surfin' Scales 1,#NAME?,#NAME?,,,,
,GAM-3810-2E,N,N,,,,#NAME?,#NAME?,,,,
,GAM-3810-3E,N,N,,,,#NAME?,#NAME?,,,,
,GAM-3810-5E,N,N,,,,#NAME?,#NAME?,,,,
,GAM-3820-1E,N,N,,GAM-3820,Surfin' Scales 2,#NAME?,#NAME?,,,,
,GAM-3820-2E,N,N,,,,#NAME?,#NAME?,,,,
,GAM-3820-3E,N,N,,,,#NAME?,#NAME?,,,,
,GAM-3820-5E,N,N,,,,#NAME?,#NAME?,,,,
,GAM-3830-1E,D ,A,P,GAM-3830,Time Signature Blimp 1,#NAME?,#NAME?,,,,
,GAM-3830-2E,D ,A,P,,,#NAME?,#NAME?,,,,
,GAM-3830-3E,D ,A,P,,,#NAME?,#NAME?,,,,
,GAM-3830-5E,D ,A,P,,,#NAME?,#NAME?,,,,
,GAM-3840-1E,D ,A,P,GAM-3840,Time Signature Blimp 2,#NAME?,#NAME?,,,,
,GAM-3840-2E,D ,A,P,,,#NAME?,#NAME?,,,,
,GAM-3840-3E,D ,A,P,,,#NAME?,#NAME?,,,,
,GAM-3840-5E,D ,A,P,,,#NAME?,#NAME?,,,,
,GAM-3850-1E  ,D,A,P,GAM-3850,Tommy Tiger's 2's & 3's,#NAME?,#NAME?,,,,
,GAM-3850-2E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3850-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3860-1E,D,A,P,GAM-3860,Triad Launch 1,#NAME?,#NAME?,,,,
,GAM-3860-2E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3860-3E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3860-5E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3870-1E,D,A,P,GAM-3870,Triad Launch 2,#NAME?,#NAME?,,,,
,GAM-3870-2E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3870-3E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3870-5E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3880-1E,N,N,,GAM-3880,Triad Launch 3,#NAME?,#NAME?,,,,
,GAM-3880-2E,N,N,,,,#NAME?,#NAME?,,,,
,GAM-3880-3E,N,N,,,,#NAME?,#NAME?,,,,
,GAM-3880-5E,N,N,,,,#NAME?,#NAME?,,,,
,GAM-3890-1E,N,N,,GAM-3890,Triad Launch 4,#NAME?,#NAME?,,,,
,GAM-3890-2E,N,N,,,,#NAME?,#NAME?,,,,
,GAM-3890-3E,N,N,,,,#NAME?,#NAME?,,,,
,GAM-3890-5E,N,N,,,,#NAME?,#NAME?,,,,
,GAM-3900-1E,N,N,,GAM-3900,Tropical Triads 1,#NAME?,#NAME?,,,,
,GAM-3900-2E,N,N,,,,#NAME?,#NAME?,,,,
,GAM-3900-3E,N,N,,,,#NAME?,#NAME?,,,,
,GAM-3900-5E,N,N,,,,#NAME?,#NAME?,,,,
,GAM-3910-1E,N,N,,GAM-3910,Tropical Triads 2,#NAME?,#NAME?,,,,
,GAM-3910-2E,N,N,,,,#NAME?,#NAME?,,,,
,GAM-3910-3E,N,N,,,,#NAME?,#NAME?,,,,
,GAM-3910-5E,N,N,,,,#NAME?,#NAME?,,,,
,GAM-3920-1E  ,D,A,P,GAM-3920,Tumble Triads 1,#NAME?,#NAME?,,,,
,GAM-3920-2E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3920-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3920-5E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3930-1E  ,D,A,P,GAM-3930,Tumble Triads 2,#NAME?,#NAME?,,,,
,GAM-3930-2E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3930-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3930-5E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3940-1E  ,D,A,P,GAM-3940,Tumble Triads 3,#NAME?,#NAME?,,,,
,GAM-3940-2E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3940-3E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3940-5E  ,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3950-1E,D,N,N,GAM-3950,Tumble Triads 4,#NAME?,#NAME?,,,,
,GAM-3950-2E,D,N,N,,,#NAME?,#NAME?,,,,
,GAM-3950-3E,D,N,N,,,#NAME?,#NAME?,,,,
,GAM-3950-5E,D,N,N,,,#NAME?,#NAME?,,,,
,GAM-3960-1E,D,N,N,GAM-3960,Tumbleweeds 1,#NAME?,#NAME?,,,,
,GAM-3960-2E,D,N,N,,,#NAME?,#NAME?,,,,
,GAM-3960-3E,D,N,N,,,#NAME?,#NAME?,,,,
,GAM-3960-5E,D,N,N,,,#NAME?,#NAME?,,,,
,GAM-3970-2E,N,N,,GAM-3970,Undersea Intervals 1,#NAME?,#NAME?,,,,
,GAM-3970-3E,N,N,,,,#NAME?,#NAME?,,,,
,GAM-3980-2E,N,N,,GAM-3980,Undersea Intervals 2,#NAME?,#NAME?,,,,
,GAM-3980-3E,N,N,,,,#NAME?,#NAME?,,,,
,GAM-3990-1E,D,A,P,GAM-3990,Underwater Clef Hanger,#NAME?,#NAME?,,,,
,GAM-3990-2E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3990-3E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-3990-5E,D,A,N,,,#NAME?,#NAME?,Blank Screens,2/3/22,,
,GAM-4000-1E,N,N,,GAM-4000,Underwater Clef Hanger 1 S,#NAME?,#NAME?,,,,
,GAM-4000-2E,N,N,,,,#NAME?,#NAME?,,,,
,GAM-4000-3E,N,N,,,,#NAME?,#NAME?,,,,
,GAM-4000-5E,N,N,,,,#NAME?,#NAME?,,,,
,GAM-4010-1E,D,A,P,GAM-4010,Will Work for Peanuts 1,#NAME?,#NAME?,,,,
,GAM-4010-2E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-4010-3E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-4010-5E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-4020-1E,D,A,P,GAM-4020,Will Work for Peanuts 2,#NAME?,#NAME?,,,,
,GAM-4020-2E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-4020-3E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-4020-5E,D,A,P,,,#NAME?,#NAME?,,,,
,GAM-5000-1E,D,A,N,GAM-5000,CLARINET FINGERINGS 1,#NAME?,#NAME?,Blank Screens,7/2/22,,
,GAM-5100-1E,N,N,,GAM-5100,PIANO,,,,,,
,GAM-5200-1E,D,A,N,GAM-5200,SAXOPHONE FINGERINGS 1,#NAME?,#NAME?,Blank Screens,7/2/22,,
,GAM-5300-1E,D,A,N,GAM-5300,TRUMPET FINGERINGS 1,#NAME?,#NAME?,Blank Screens,7/2/22,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,88%,,1250,DELIVERED,,,,,,
,,,12%,,170,NOT DELIVERED,,,,,,
,,,,,1420,TOTAL,,,,,,
,,,,,,,,,,,,
,,,73%,,1031,PLAYABLE,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,DELIVERED,,,D ,Games delivered (paid for),,,,,,
,,,ACTIVE,,A ,Game activated in Live Admin panel,,,,,,
,,,,PLAYS,P ,Game loads in playing panel and game may be played,,,,,,
,,,,,N ,Conditon is NO,,,,,,
,,,,,,,,,,,,
,,N,N,,,Game not delivered (not paid),,,,,,
,,N,A,N,,Game stage not delivered (on paid game),,,,,,
,,D,N,N,,PAID but not loaded,,,,,,
,,D,A,N,,Game delivered but not playable,,,,,,
,,D,A,P,,Game fully playable,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,"Any game marked ""D"" has been paid for to Bryan Warren and Bryan has delivered to Blayzer. ",,,,,,,,,,,
," If Blayzer does not have it, then the file must be re-sent. ",,,,,,,,,,,
," Any game marked ""N"" in the PLAYS column means that it does not load in the live system",,,,,,,,,,,
,This spreadsheet will be updated as I am notified of changes.  I will confirm changes,,,,,,,,,,,
,and notify both Blayzer and Bryan Warren,,,,,,,,,,,
