,,,,,,,
,,MONTHLY,,ANNUAL,,,Annual
,7570,$635.65 ,"$7,627.80 ",0.084,$1.01 ,,0.000
,7575,$635.90 ,"$7,630.80 ",0.084,$1.01 ,,0.000
,7580,$636.15 ,"$7,633.80 ",0.084,$1.01 ,,0.000
,7585,$636.40 ,"$7,636.80 ",0.084,$1.01 ,,0.000
,7590,$636.65 ,"$7,639.80 ",0.084,$1.01 ,,0.000
,7595,$636.90 ,"$7,642.80 ",0.084,$1.01 ,,0.000
,7600,$637.15 ,"$7,645.80 ",0.084,$1.01 ,,0.000
,7700,$642.15 ,"$7,705.80 ",0.083,$1.00 ,,0.005
,7800,$647.15 ,"$7,765.80 ",0.083,$1.00 ,,0.005
,7900,$652.15 ,"$7,825.80 ",0.083,$0.99 ,,0.005
,8000,$657.15 ,"$7,885.80 ",0.082,$0.99 ,,0.005
,9000,$707.15 ,"$8,485.80 ",0.079,$0.94 ,,0.043
,10000,$757.15 ,"$9,085.80 ",0.076,$0.91 ,,0.034
,11000,$807.15 ,"$9,685.80 ",0.073,$0.88 ,,0.028
,12000,$857.15 ,"$10,285.80 ",0.071,$0.86 ,,0.023
,13000,$907.15 ,"$10,885.80 ",0.070,$0.84 ,,0.020
,14000,$957.15 ,"$11,485.80 ",0.068,$0.82 ,,0.017
,15000,"$1,007.15 ","$12,085.80 ",0.067,$0.81 ,,0.015
,16000,"$1,057.15 ","$12,685.80 ",0.066,$0.79 ,,0.013
,17000,"$1,107.15 ","$13,285.80 ",0.065,$0.78 ,,0.011
,18000,"$1,157.15 ","$13,885.80 ",0.064,$0.77 ,,0.010
,19000,"$1,207.15 ","$14,485.80 ",0.064,$0.76 ,,0.009
,20000,"$1,257.15 ","$15,085.80 ",0.063,$0.75 ,,0.008
,21000,"$1,307.15 ","$15,685.80 ",0.062,$0.75 ,,0.007
,22000,"$1,357.15 ","$16,285.80 ",0.062,$0.74 ,,0.007
,23000,"$1,407.15 ","$16,885.80 ",0.061,$0.73 ,,0.006
,24000,"$1,457.15 ","$17,485.80 ",0.061,$0.73 ,,0.006
,25000,"$1,507.15 ","$18,085.80 ",0.060,$0.72 ,,0.005
,26000,"$1,557.15 ","$18,685.80 ",0.060,$0.72 ,,0.005
,27000,"$1,607.15 ","$19,285.80 ",0.060,$0.71 ,,0.004
,28000,"$1,657.15 ","$19,885.80 ",0.059,$0.71 ,,0.004
,29000,"$1,707.15 ","$20,485.80 ",0.059,$0.71 ,,0.004
,30000,"$1,757.15 ","$21,085.80 ",0.059,$0.70 ,,0.004
,31000,"$1,807.15 ","$21,685.80 ",0.058,$0.70 ,,0.003
,32000,"$1,857.15 ","$22,285.80 ",0.058,$0.70 ,,0.003
,33000,"$1,907.15 ","$22,885.80 ",0.058,$0.69 ,,0.003
,34000,"$1,957.15 ","$23,485.80 ",0.058,$0.69 ,,0.003
,35000,"$2,007.15 ","$24,085.80 ",0.057,$0.69 ,,0.003
,36000,"$2,057.15 ","$24,685.80 ",0.057,$0.69 ,,0.002
,37000,"$2,107.15 ","$25,285.80 ",0.057,$0.68 ,,0.002
,38000,"$2,157.15 ","$25,885.80 ",0.057,$0.68 ,,0.002
,39000,"$2,207.15 ","$26,485.80 ",0.057,$0.68 ,,0.002
,40000,"$2,257.15 ","$27,085.80 ",0.056,$0.68 ,,0.002
,41000,"$2,307.15 ","$27,685.80 ",0.056,$0.68 ,,0.002
,42000,"$2,357.15 ","$28,285.80 ",0.056,$0.67 ,,0.002
,43000,"$2,407.15 ","$28,885.80 ",0.056,$0.67 ,,0.002
,44000,"$2,457.15 ","$29,485.80 ",0.056,$0.67 ,,0.002
,45000,"$2,507.15 ","$30,085.80 ",0.056,$0.67 ,,0.002
,46000,"$2,557.15 ","$30,685.80 ",0.056,$0.67 ,,0.001
,47000,"$2,607.15 ","$31,285.80 ",0.055,$0.67 ,,0.001
,48000,"$2,657.15 ","$31,885.80 ",0.055,$0.66 ,,0.001
,49000,"$2,707.15 ","$32,485.80 ",0.055,$0.66 ,,0.001
,50000,"$2,757.15 ","$33,085.80 ",0.055,$0.66 ,,0.001
,,,,,,,
,,Total Students in excess of 6000,,,,,44000
,,Multiply by $0.05,,"6,000.000",,,2200
,,Add ,$557.15 ,,,,557.15
,,Result is monthly rate,,,,,2757.15
,,,,,,,
,,,,,,,
,75000,"$4,007.15 ","$48,085.80 ",0.053,$0.64 ,,
